device_id, CreateTime, RecvTime, Data
1, , 2019-10-16 19:09:23.261000, 24728132
1, , 2019-10-16 19:09:30.327000, 24735204
1, , 2019-10-16 19:09:37.393000, 24742272
1, , 2019-10-16 19:09:44.462000, 24749341
1, , 2019-10-16 19:09:51.526000, 24756411
1, , 2019-10-16 19:09:58.591000, 24763479
1, , 2019-10-16 19:10:05.653000, 24770546
1, , 2019-10-16 19:10:11.721000, 24776615
1, , 2019-10-16 19:10:18.789000, 24783682
1, , 2019-10-16 19:10:25.848000, 24790749
1, , 2019-10-16 19:10:32.922000, 24797817
1, , 2019-10-16 19:10:39.984000, 24804886
1, , 2019-10-16 19:10:47.055000, 24811953
1, , 2019-10-16 19:10:54.910000, 24819020
1, , 2019-10-16 19:11:01.186000, 24826087
1, , 2019-10-16 19:11:08.265000, 24833154
1, , 2019-10-16 19:11:15.315000, 24840222
1, , 2019-10-16 19:11:22.373000, 24847290
1, , 2019-10-16 19:11:28.453000, 24853357
1, , 2019-10-16 19:11:35.524000, 24860431
1, , 2019-10-16 19:11:42.592000, 24867503
1, , 2019-10-16 19:11:49.655000, 24874570
1, , 2019-10-16 19:11:56.721000, 24881638
1, , 2019-10-16 19:12:03.797000, 24888705
1, , 2019-10-16 19:12:10.864000, 24895785
1, , 2019-10-16 19:12:17.931000, 24902852
1, , 2019-10-16 19:12:24.997000, 24909920
1, , 2019-10-16 19:12:32.062000, 24916987
1, , 2019-10-16 19:12:39.128000, 24924057
1, , 2019-10-16 19:12:46.194000, 24931126
1, , 2019-10-16 19:12:53.259000, 24938196
1, , 2019-10-16 19:13:00.325000, 24945263
1, , 2019-10-16 19:13:07.391000, 24952330
1, , 2019-10-16 19:13:14.455000, 24959397
1, , 2019-10-16 19:13:22.415000, 24966465
1, , 2019-10-16 19:13:28.589000, 24973532
1, , 2019-10-16 19:13:35.653000, 24980601
1, , 2019-10-16 19:13:42.713000, 24987669
1, , 2019-10-16 19:13:49.784000, 24994737
1, , 2019-10-16 19:13:57.418000, 25001804
1, , 2019-10-16 19:14:03.915000, 25008872
